"";"x"
"474";"Serdar-Thenk-Yildiz"
"475";"Serk"
"476";"Sero"
"477";"Sha-Karl"
"478";"She-MC"
"479";"Süchteln"
"480";"Shiml"
"481";"ShimmyMC"
"482";"Shizoe"
"483";"Shuko"
"484";"Siamak"
"485";"Sido"
"486";"Silla"
"487";"Sinan-G"
"488";"Skinny-Al"
"489";"Sleepwalker"
"490";"Smoky"
"491";"Smudo"
"492";"Snaga"
"493";"Sookee"
"494";"Spax"
"495";"Spinning-9"
"496";"Spintec"
"497";"Spongebozz"
"498";"Marc-Reis"
"499";"SSIO"
"500";"Sudden"
"501";"Peter-Stöcklin"
"502";"Suff-Daddy"
"503";"Sultan-Tunc"
"504";"Summer-Cem"
"505";"Sylabil-Spill"
"506";"Tachiles"
"507";"Tai-Jason"
"508";"Taichi"
"509";"TaiMO"
"510";"Takt32"
"511";"Taktloss"
"512";"Tamas"
"513";"Tapete"
"514";"Tatwaffe"
"515";"Das-Duale-System"
"516";"Teesy"
"517";"Telly-Tellz"
"518";"Testo"
"519";"Zugezogen-Maskulin"
"520";"Timeless"
"521";"Thomas-D"
"522";"Son-Goku"
"523";"Tobi-Tobsen"
"524";"Moonbootica"
"525";"Timi-Hendrix"
"526";"Pimpulsiv"
"527";"Tone"
"528";"Konkret-Finn"
"529";"Toni-Cottura"
"530";"Fun-Factory"
"531";"Toni-L"
"532";"Toni-Tuklan"
"533";"Tony-D"
"534";"Toony"
"535";"Torch"
"536";"Trooper-Da-Don"
"537";"Tropf"
"538";"Tua"
"539";"Turgay-K"
"540";"Twin"
"541";"T.Wonder"
"542";"Ufo361"
"543";"Ünal-Yüksel"
"544";"Umse"
"545";"Uzi"
"546";"Valezka"
"547";"Vega"
"548";"Veysel"
"549";"Visa-Vie"
"550";"Vito-Vendetta"
"551";"Vokalmatador"
"552";"Volkan-T."
"553";"Weekend"
"554";"Woroc"
"555";"Xatar"
"556";"X-plosive"
"557";"Yasha"
"558";"Yassin"
"559";"Audio88-&-Yassin"
"560";"Yassir"
"561";"Yannic-Lippe"
"562";"Zwang"
"563";"257ers"
"564";"2ruff"
"565";"0816"
"566";"Äi-Tiem"
"567";"Aggro-Grünwald"
"568";"AK-Ausserkontrolle"
"569";"Am2pm"
"570";"A.M.T."
"571";"Automatikk"
"572";"Beathoavenz"
"573";"Xavier-Naidoo"
"574";"BSMG"
"575";"Cartel"
"576";"Erci-Ergün"
"577";"Karakan"
"578";"Da-Crime-Posse"
"579";"Celo-&-Abdi"
"580";"City-Nord"
"581";"Creme-de-la-Creme"
"582";"John-Magiriba-Lwanga"
"583";"Dat-Adam"
"584";"Deine-Elstern"
"585";"Kobito"
"586";"Deine-Freunde"
"587";"DJ-exel.-Pauly"
"588";"Lukas-Nimscheck"
