"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"342";"625070";"Juju";"3";"Juju";"german"
"343";"625077";"Juju & Said";"3";"Juju";"german"
"344";"1478870";"Juju (Suomi)";"3";"Juju";"finnish"
"345";"613358";"SXTN";"1";"SXTN";"german"
"346";"228859";"John Webber & Juri";"2";"Juri";"english"
"347";"22148";"Juri";"2";"Juri";"german"
"348";"91048";"Juse Ju";"1";"Juse-Ju";"german"
"349";NA;"Justus";"0";"Justus";"NA"
"350";"388240";"Juvelen";"1";"Juvel";"english"
"351";"12629";"Kaas";"4";"Kaas";"german"
"352";"551496";"Kaascouse -Zonamo Underground";"4";"Kaas";"dutch"
"353";"530911";"Kaascouse";"4";"Kaas";"dutch"
"354";"1651322";"Kaash Paige";"4";"Kaas";"scots"
"355";"12217";"Die Orsons";"1";"Die-Orsons";"german"
"356";"323967";"Kaisa";"2";"Kaisa";"german"
"357";"278701";"Basstard & Kaisa";"2";"Kaisa";"german"
"358";NA;"Kalim";"0";"Kalim";"NA"
"359";"13053";"Kalusha";"2";"Kalusha";"keine_erfolgreiche_stichprobe"
"360";"32161";"Said, Greeny, Kalusha & Ufo361";"2";"Kalusha";"german"
"361";NA;"Kami Manns";"0";"Kami-Manns";"NA"
"362";"385690";"Basis";"1";"Basis";"german"
"363";"81779";"Karate Andi";"1";"Karate-Andi";"german"
"364";"62845";"Kayef";"2";"Kayef";"german"
"365";"41444";"Kayef & Liont";"2";"Kayef";"german"
"366";"14238";"Kay One";"1";"Kay-One";"german"
"367";"20442";"KC Rebell";"2";"KC-Rebell";"german"
"368";"1118217";"KC Rebell & Summer Cem";"2";"KC-Rebell";"german"
"369";NA;"KD Beatz";"0";"KD-Beatz";"NA"
"370";NA;"KD Supier";"0";"KD-Supier";"NA"
"371";NA;"Keyza Soze";"0";"Keyza-Soze";"NA"
"372";"94917";"Kex Kuhl";"2";"Kex-Kuhl";"german"
"373";"120455";"Cashisclay vs Kex Kuhl";"2";"Kex-Kuhl";"german"
"374";NA;"K Fly";"0";"K-Fly";"NA"
"375";"20892";"Killa Hakan";"1";"Killa-Hakan";"german"
"376";"1527628";"Islamic Force";"1";"Islamic-Force";"turkish"
"377";"208270";"PA Sports & Kianush";"2";"Kianush";"german"
"378";"50299";"Kianush";"2";"Kianush";"german"
"379";NA;"King Eazy";"0";"King-Eazy";"NA"
"380";"209826";"King Khalil";"1";"King-Khalil";"german"
"381";"13055";"King Orgasmus One";"1";"King-Orgasmus-One";"german"
"382";"19249";"Kitty Kat";"1";"Kitty-Kat";"german"
"383";"385198";"Kodimey";"1";"Kodimey";"german"
"384";"12077";"Kollegah";"2";"Kollegah";"german"
"385";"14435";"Kollegah & Farid Bang";"2";"Kollegah";"german"
"386";"46636";"Selfmade Records";"1";"Selfmade-Records";"german"
"387";NA;"Boris Lauterbach";"0";"Boris-Lauterbach";"NA"
"388";"12800";"Fettes Brot";"1";"Fettes-Brot";"german"
"389";"400794";"König Quasi";"1";"König-Quasi";"german"
"390";"31792";"Kontra K";"1";"Kontra-K";"german"
"391";"11830";"Kool Savas";"1";"Kool-Savas";"german"
"392";"45288";"Westberlin Maskulin";"1";"Westberlin-Maskulin";"german"
"393";"23815";"Xavas";"1";"Xavas";"german"
"394";"210362";"Koree";"1";"Koree";"german"
"395";"20337";"Kurdo";"1";"Kurdo";"german"
"396";"12841";"Laas Unltd.";"1";"Laas-Unltd.";"german"
"397";NA;"Reyhan Sahin";"0";"Reyhan-Sahin";"NA"
"398";"50453";"Lakmann One";"1";"Lakmann-One";"german"
"399";"31128";"Creutzfeld & Jakob";"1";"Creutzfeld-&-Jakob";"german"
"400";"21464";"Lance Butters";"1";"Lance-Butters";"german"
"401";NA;"Later";"0";"Later";"NA"
"402";NA;"Johann Christof Laubisch";"0";"Johann-Christof-Laubisch";"NA"
"403";"173669";"Lemur";"2";"Lemur";"german"
"404";"60895";"Lemuria";"2";"Lemur";"english"
"405";"13717";"Herr von Grau";"1";"Herr-von-Grau";"german"
"406";"655843";"Lena Stoehrfaktor";"1";"Lena-Stoehrfaktor";"german"
"407";"511581";"Leon Machère";"1";"Leon-Machère";"german"
"408";"1215066";"LGoony, Soufian & Crack Ignaz";"3";"LGoony";"german"
"409";"230721";"LGoony";"3";"LGoony";"german"
"410";"632005";"LGoony & Crack Ignaz";"3";"LGoony";"german"
"411";NA;"Lia 74";"0";"Lia-74";"NA"
"412";"1341161";"Lil Lano";"2";"Lil-Lano";"german"
"413";"1540993";"Lil Lano & Trippie Boi";"2";"Lil-Lano";"german"
"414";NA;"Lil’O";"0";"Lil’O";"NA"
"415";"648895";"Lisiena";"3";"Lisi";"english"
"416";"669825";"Jan Lisiecki";"3";"Lisi";"keine_erfolgreiche_stichprobe"
"417";"581134";"Lisie Pieklo";"3";"Lisi";"polish"
"418";"127606";"Luciano";"2";"Luciano";"german"
"419";"1018885";"Luciano & Nikky Santoro";"2";"Luciano";"german"
"420";NA;"Lucry";"0";"Lucry";"NA"
"421";NA;"Egoland";"0";"Egoland";"NA"
"422";"37216";"Lumaraa";"2";"Lumaraa";"german"
"423";"1675322";"Der Asiate & Lumaraa";"2";"Lumaraa";"german"
"424";NA;"Lukas Eichhammer";"0";"Lukas-Eichhammer";"NA"
"425";"331386";"LX & Maxwell";"2";"LX";"german"
"426";"21141";"LX";"2";"LX";"german"
"427";"13052";"Mach One";"1";"Mach-One";"german"
"428";"64875";"Mad Maks";"1";"Mad-Maks";"german"
"429";NA;"Mädness";"0";"Mädness";"NA"
"430";"12216";"Maeckes";"1";"Maeckes";"german"
"431";NA;"Maeckes & Plan B";"0";"Maeckes-&-Plan-B";"NA"
"432";"17456";"Majoe";"3";"Majoe";"german"
"433";"226997";"Kollegah & Majoe";"3";"Majoe";"german"
"434";"25924";"Majoe & Jasko";"3";"Majoe";"german"
"435";"335715";"Manny Marc & Blokkmonsta";"3";"Manny-Marc";"german"
"436";"271452";"Frauenarzt & Manny Marc";"3";"Manny-Marc";"german"
"437";"43490";"Manny Marc";"3";"Manny-Marc";"german"
"438";"17826";"Manuellsen";"1";"Manuellsen";"keine_erfolgreiche_stichprobe"
"439";NA;"Marc Hype";"0";"Marc-Hype";"NA"
"440";"12463";"Marteria";"1";"Marteria";"german"
"441";"8823";"Massive Attack";"2";"Massiv";"english"
"442";"12885";"Massiv";"2";"Massiv";"german"
"443";"204982";"Culcha Candela";"1";"Culcha-Candela";"german"
"444";"506810";"Mauli";"1";"Mauli";"german"
"445";"12776";"Max Herre";"1";"Max-Herre";"german"
"446";"20970";"Freundeskreis";"1";"Freundeskreis";"scots"
"447";NA;"Attila Murat Aydin";"0";"Attila-Murat-Aydin";"NA"
"448";NA;"Maxwell";"0";"Maxwell";"NA"
"449";NA;"MC Basstard";"0";"MC-Basstard";"NA"
"450";"1019934";"MC Bilal";"1";"MC-Bilal";"german"
"451";"35295";"MC Bogy";"1";"MC-Bogy";"german"
"452";"34398";"MC Fitti";"1";"MC-Fitti";"german"
"453";"131146";"MC Rene und Carl Crinx";"2";"MC-Rene";"german"
"454";"13294";"MC Rene";"2";"MC-Rene";"german"
"455";NA;"MC Spontan";"0";"MC-Spontan";"NA"
"456";"12396";"Megaloh";"2";"Megaloh";"german"
"457";"1071948";"Megaloh, Trettmann & KitschKrieg";"2";"Megaloh";"german"
"458";"8147";"Melbeatz";"1";"Melbeatz";"scots"
"459";"331422";"Petite Meller";"1";"Meller";"scots"
"460";"383156";"Mellow Mark";"1";"Mellow-Mark";"german"
"461";"1536959";"Sero el Mero";"2";"Mero";"german"
"462";"1279135";"Meron & Donyanah";"2";"Mero";"scots"
