"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"1";NA;NA;NA;NA;"NA"
"2";NA;"12 Finger Dan";"0";"12-Finger-Dan";"NA"
"3";"547530";"18 Karat";"1";"18-Karat";"german"
"4";"24476";"3Plusss";"1";"3Plusss";"german"
"5";"20278";"4tune";"1";"4tune";"german"
"6";NA;"7inch";"0";"7inch";"NA"
"7";"31834";"Abroo";"2";"Abroo";"german"
"8";"1667550";"Abroozzy";"2";"Abroo";"middle_frisian"
"9";"106284";"Antihelden";"1";"Antihelden";"german"
"10";"20543";"Absztrakkt";"3";"Absztrakkt";"keine_erfolgreiche_stichprobe"
"11";"498274";"Absztrakkt & Cr7z";"3";"Absztrakkt";"german"
"12";"215440";"Absztrakkt & Roey Marquis II.";"3";"Absztrakkt";"german"
"13";"18533";"AchtVier";"3";"AchtVier";"german"
"14";"323583";"AchtVier & Gzuz";"3";"AchtVier";"german"
"15";"1295064";"Nura & AchtVier";"3";"AchtVier";"german"
"16";"12482";"Afrob";"2";"Afrob";"german"
"17";"1207292";"Newen Afrobeat";"2";"Afrob";"spanish"
"18";"40769";"ASD";"1";"ASD";"english"
"19";"16028";"Brothers Keepers";"1";"Brothers-Keepers";"german"
"20";NA;"Afro Hesse";"0";"Afro-Hesse";"NA"
"21";"1011295";"Ahzumjot & Lance Butters";"1";"Ahzumjot";"german"
"22";"191839";"Ali Bumaye";"1";"Ali-Bumaye";"german"
"23";"44904";"Fluid (Albino Blacksheep)";"2";"Albino";"english"
"24";"491048";"Tomaso Albinoni";"2";"Albino";"portuguese"
"25";"223897";"Alexis Troy";"1";"Alexis-Troy";"keine_erfolgreiche_stichprobe"
"26";NA;"Al Gear";"0";"Al-Gear";"NA"
"27";"29396";"Ali As";"1";"Ali-As";"german"
"28";"32766";"Alina Baraz";"2";"Alina";"scots"
"29";"424062";"Alina Baraz & Galimatias";"2";"Alina";"english"
"30";"15506";"Alligatoah";"1";"Alligatoah";"german"
"31";"26447";"Trailerpark";"1";"Trailerpark";"german"
"32";"17856";"Alpa Gun";"1";"Alpa-Gun";"german"
"33";"453701";"Rodrigo Amarante";"1";"Amar";"portuguese"
"34";"20633";"Amewu";"1";"Amewu";"german"
"35";"14485";"Animus";"1";"Animus";"german"
"36";"278349";"Antifuchs";"1";"Antifuchs";"german"
"37";NA;"Aside";"0";"Aside";"NA"
"38";"29943";"Audio88 & Yassin";"1";"Audio88";"german"
"39";"11829";"Azad";"3";"Azad";"german"
"40";"13047";"Azad Right";"3";"Azad";"scots"
"41";"67699";"Kool Savas & Azad";"3";"Azad";"german"
"42";"1497324";"Asiatic Warriors";"1";"Asiatic-Warriors";"german"
"43";"68538";"Warheit";"1";"Warheit";"keine_erfolgreiche_stichprobe"
"44";"534027";"Kaka Azraff";"3";"Azra";"indonesian"
"45";"104460";"Eko Fresh & Azra";"3";"Azra";"german"
"46";"1066416";"Azrael.XS";"3";"Azra";"english"
"47";"178366";"Azzi Memo";"1";"Azzi-Memo";"german"
"48";"12433";"Baba Saad";"1";"Baba-Saad";"german"
"49";"53445";"Bacapon";"1";"Bacapon";"german"
"50";"346761";"Bahari";"2";"Bahar";"scots"
"51";"64877";"Bahar";"2";"Bahar";"english"
"52";"13363";"Bass Sultan Hengzt";"1";"Bass-Sultan-Hengzt";"german"
"53";"201261";"Berlins Most Wanted";"1";"Berlins-Most-Wanted";"german"
"54";NA;"BattleBoi Basti";"0";"BattleBoi-Basti";"NA"
"55";NA;"Beatbox Eliot";"0";"Beatbox-Eliot";"NA"
"56";NA;"Beatzarre";"0";"Beatzarre";"NA"
"57";"259515";"Muhabbet & Bektas Günes";"2";"Bektas";"danish"
"58";"635217";"Bektas Günes";"2";"Bektas";"turkish"
"59";"31769";"Ben Salomo";"1";"Ben-Salomo";"german"
"60";"268853";"Bero Bass";"1";"Bero-Bass";"german"
"61";"134291";"Big Derill Mack";"1";"Big-Derill-Mack";"german"
"62";NA;"Masters of Rap";"0";"Masters-of-Rap";"NA"
"63";NA;"Biztram";"0";"Biztram";"NA"
"64";"14316";"Bizzy Montana";"2";"Bizzy-Montana";"german"
"65";"115683";"Chakuza & Bizzy Montana";"2";"Bizzy-Montana";"keine_erfolgreiche_stichprobe"
"66";NA;"B Lash";"0";"B-Lash";"NA"
"67";NA;"Bülent Çelebi";"0";"Bülent-Çelebi";"NA"
"68";"337957";"Digger Dance";"1";"Digger-Dance";"german"
"69";"42789";"Blokkmonsta";"4";"Blokkmonsta";"keine_erfolgreiche_stichprobe"
"70";"559952";"Uzi, Blokkmonsta & Schwartz";"4";"Blokkmonsta";"german"
"71";"336485";"Blokkmonsta & Uzi";"4";"Blokkmonsta";"german"
"72";"329076";"Blokkmonsta, Uzi & SDBY";"4";"Blokkmonsta";"german"
"73";"16232";"Blumio";"1";"Blumio";"german"
"74";"82061";"Blut & Kasse";"1";"Blut-&-Kasse";"german"
"75";"18685";"Boba Fettt";"1";"Boba-Fettt";"german"
"76";NA;"Bo Flower";"0";"Bo-Flower";"NA"
"77";"978712";"Bonez MC & RAF Camora";"2";"Bonez-MC";"german"
"78";"322245";"Gzuz & Bonez MC";"2";"Bonez-MC";"german"
"79";"19650";"187 Strassenbande";"1";"187-Strassenbande";"german"
"80";"619178";"Vega & Bosca";"2";"Bosca";"german"
"81";"1037834";"Bosca";"2";"Bosca";"german"
"82";NA;"Boshi San";"0";"Boshi-San";"NA"
"83";NA;"Arye Sharuz Shalicar";"0";"Arye-Sharuz-Shalicar";"NA"
"84";"13590";"Boulevard Bou";"1";"Boulevard-Bou";"german"
"85";"226915";"V Bozeman";"2";"Boz";"english"
"86";"85037";"Bozza";"2";"Boz";"german"
"87";"192758";"BRKN";"2";"BRKN";"german"
"88";"385336";"BRKN RBTZ";"2";"BRKN";"english"
"89";"367831";"Bruda Sven";"1";"Bruda-Sven";"german"
"90";NA;"B Tight";"0";"B-Tight";"NA"
"91";NA;"Alles ist die Sekte";"0";"Alles-ist-die-Sekte";"NA"
"92";NA;"George Boateng";"0";"George-Boateng";"NA"
"93";"622212";"Buddy Buxbaum";"1";"Buddy-Buxbaum";"german"
"94";"36209";"Deichkind";"1";"Deichkind";"german"
"95";"382590";"Bürger Lars Dietrich";"1";"Bürger-Lars-Dietrich";"german"
"96";"12338";"Bushido";"2";"Bushido";"german"
"97";"513438";"Bushido & Shindy";"2";"Bushido";"german"
"98";NA;"Caddy Pack";"0";"Caddy-Pack";"NA"
"99";"1038122";"Capital Bra";"1";"Capital-Bra";"german"
"100";"15531";"Capkekz";"1";"Capkekz";"german"
"101";"76753";"L'A Capone";"3";"Capo";"scots"
"102";"991191";"Capo Plaza";"3";"Capo";"italian"
"103";"3791";"Capo";"3";"Capo";"catalan"
"104";"18679";"Cappuccino";"2";"Cappuccino";"german"
"105";"18022";"Capeech Cappuccino";"2";"Cappuccino";"scots"
"106";"358137";"Jazzkantine";"1";"Jazzkantine";"german"
"107";"33084";"Johnny Mauser & Captain Gips";"2";"Captain-Gips";"keine_erfolgreiche_stichprobe"
"108";"52735";"Captain Gips";"2";"Captain-Gips";"german"
"109";"392114";"Sergio Caputo";"2";"Caput";"italian"
"110";"12619";"Caput";"2";"Caput";"german"
"111";"26289";"Carlprit";"2";"Carlprit";"english"
"112";"523093";"Modana & Carlprit";"2";"Carlprit";"scots"
"113";"44284";"Cashisclay";"1";"Cashisclay";"german"
"114";NA;"CashMo";"0";"CashMo";"NA"
"115";"1593971";"Nio García, Casper Mágico & Bad Bunny";"3";"Casper";"spanish"
"116";"12089";"Casper";"3";"Casper";"keine_erfolgreiche_stichprobe"
"117";"1466087";"Nio García, Casper Mágico & Darell";"3";"Casper";"spanish"
"118";NA;"Casper Hight";"0";"Casper-Hight";"NA"
"119";"33120";"Chaoze One";"1";"Chaoze-One";"german"
"120";NA;"Choukri Gustmann";"0";"Choukri-Gustmann";"NA"
"121";"55426";"Charnell";"2";"Charnell";"german"
"122";"318819";"Aunye, Charnell, Kayla, Tionnia";"2";"Charnell";"english"
"123";"17651";"Chefket";"1";"Chefket";"german"
"124";"40382";"Chima";"4";"Chima";"german"
"125";"196940";"Chima Ede";"4";"Chima";"german"
"126";"1001430";"Megaloh, Chima Ede & Musa";"4";"Chima";"german"
"127";"1002732";"Chima Ede & Ghanaian Stallion";"4";"Chima";"german"
"128";"24257";"Clueso";"1";"Clueso";"german"
"129";NA;"Colos";"0";"Colos";"NA"
"130";"13674";"Cora E.";"1";"Cora-E.";"german"
"131";"910346";"Corus 86 & DJ Reckless";"2";"Corus-86";"german"
"132";"214210";"Corus 86";"2";"Corus-86";"keine_erfolgreiche_stichprobe"
"133";NA;"Costik Iwey";"0";"Costik-Iwey";"NA"
"134";"31772";"Cr7z";"1";"Cr7z";"german"
"135";"31767";"Credibil";"1";"Credibil";"german"
"136";NA;"Cro";"0";"Cro";"NA"
"137";"484914";"Cronite";"1";"Cronite";"english"
"138";"59510";"Crystal Fighters";"3";"Crystal-F";"english"
"139";"24527";"Crystal F";"3";"Crystal-F";"keine_erfolgreiche_stichprobe"
"140";"30651";"Crystal Force";"3";"Crystal-F";"scots"
"141";"39121";"Ruffiction";"1";"Ruffiction";"german"
"142";NA;"Curse";"0";"Curse";"NA"
"143";"12608";"Damion Davis";"1";"Damion-Davis";"german"
"144";"42897";"NMZS & Danger Dan";"2";"Danger-Dan";"german"
"145";"24783";"Danger Dan";"2";"Danger-Dan";"german"
"146";"52487";"Antilopen Gang";"1";"Antilopen-Gang";"german"
"147";"644559";"Danju";"1";"Danju";"german"
"148";"72339";"Danny Fresh";"1";"Danny-Fresh";"german"
"149";NA;"W4C";"0";"W4C";"NA"
"150";"1006113";"Dardan";"1";"Dardan";"german"
"151";"656157";"Darnell Williams";"3";"Darn";"scots"
"152";"13532";"Darnell Robinson";"3";"Darn";"english"
"153";"383802";"Casey Darnell";"3";"Darn";"keine_erfolgreiche_stichprobe"
"154";"12450";"Das Bo";"1";"Das-Bo";"german"
"155";"32174";"Der Tobi & das Bo";"1";"Der-Tobi-&-das-Bo";"german"
"156";"36164";"Fünf Sterne deluxe";"1";"Fünf-Sterne-deluxe";"german"
"157";"45673";"David Asphalt";"2";"David-Asphalt";"german"
"158";"50224";"David Asphalt & Milli";"2";"David-Asphalt";"german"
"159";"358800";"David Pomeranz";"6";"David-P.";"english"
"160";"59308";"David Porter";"6";"David-P.";"keine_erfolgreiche_stichprobe"
"161";"150468";"David Punch";"6";"David-P.";"scots"
"162";"404919";"David Pabon";"6";"David-P.";"spanish"
"163";"1407179";"David Parra";"6";"David-P.";"keine_erfolgreiche_stichprobe"
"164";"47764";"David Pogue";"6";"David-P.";"english"
"165";"47715";"Main Concept";"1";"Main-Concept";"german"
"166";NA;"D Bo";"0";"D-Bo";"NA"
"167";"17966";"DCVDNS";"1";"DCVDNS";"german"
"168";"325722";"Dean Dawson";"1";"Dean-Dawson";"scots"
"169";"183542";"Spezializtz";"1";"Spezializtz";"german"
"170";NA;"Dee Ex";"0";"Dee-Ex";"NA"
"171";"17681";"Dendemann";"1";"Dendemann";"german"
"172";"12129";"Eins Zwo";"1";"Eins-Zwo";"german"
"173";"370262";"Dennis Lisk";"1";"Dennis-Lisk";"german"
"174";"25183";"Beginner";"1";"Beginner";"german"
"175";"20279";"Der Asiate";"1";"Der-Asiate";"german"
"176";"375406";"Der Wolf";"1";"Der-Wolf";"german"
"177";"1217777";"Destroy Degenhardt";"1";"Destroy-Degenhardt";"german"
"178";NA;"Dexter";"0";"Dexter";"NA"
"179";NA;"D Flame";"0";"D-Flame";"NA"
"180";"574502";"D Irie";"1";"D-Irie";"german"
"181";"26604";"Disarstar";"1";"Disarstar";"german"
"182";NA;"Dissy";"0";"Dissy";"NA"
"183";"182191";"Dissziplin";"1";"Dissziplin";"german"
"184";"37177";"DJ Desue";"1";"DJ-Desue";"german"
"185";"38771";"DJ Dynamite";"1";"DJ-Dynamite";"scots"
"186";"16194";"Dynamite Deluxe";"1";"Dynamite-Deluxe";"german"
"187";NA;"DJ Ilan";"0";"DJ-Ilan";"NA"
"188";"95978";"DJ Koze";"1";"DJ-Koze";"english"
"189";"37917";"Fischmob";"1";"Fischmob";"german"
"190";"15283";"Marius No.1";"1";"Marius-No.1";"german"
"191";NA;"DJ Mike MD";"0";"DJ-Mike-MD";"NA"
"192";"13610";"Advanced Chemistry";"1";"Advanced-Chemistry";"keine_erfolgreiche_stichprobe"
"193";NA;"DJ Mirko Machine";"0";"DJ-Mirko-Machine";"NA"
"194";NA;"DJ MK 1";"0";"DJ-MK-1";"NA"
"195";"13281";"Beatfabrik";"1";"Beatfabrik";"german"
